timestamp,pod_name,cpu(m),memory(Mi),node
2026-03-31 18:56:28,load-generator,810m,5Mi,minikube
2026-03-31 18:56:28,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:56:28,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 18:56:28,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:56:39,load-generator,810m,5Mi,minikube
2026-03-31 18:56:39,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:56:39,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 18:56:39,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:56:46,load-generator,810m,5Mi,minikube
2026-03-31 18:56:46,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:56:46,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 18:56:46,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:56:54,load-generator,806m,4Mi,minikube
2026-03-31 18:56:54,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:56:54,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:56:54,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:57:01,load-generator,806m,4Mi,minikube
2026-03-31 18:57:01,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:57:01,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:57:01,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:57:11,load-generator,806m,4Mi,minikube
2026-03-31 18:57:11,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:57:11,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:57:11,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:57:19,load-generator,806m,4Mi,minikube
2026-03-31 18:57:19,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:57:19,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:57:19,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:57:26,load-generator,806m,4Mi,minikube
2026-03-31 18:57:26,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:57:26,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:57:26,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:57:34,load-generator,806m,4Mi,minikube
2026-03-31 18:57:34,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:57:34,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:57:34,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:57:42,load-generator,806m,4Mi,minikube
2026-03-31 18:57:42,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:57:42,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:57:42,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:57:52,load-generator,806m,4Mi,minikube
2026-03-31 18:57:52,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:57:52,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:57:52,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 18:58:00,load-generator,806m,5Mi,minikube
2026-03-31 18:58:00,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:00,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:00,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:58:08,load-generator,806m,5Mi,minikube
2026-03-31 18:58:08,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:08,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:08,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:58:16,load-generator,806m,5Mi,minikube
2026-03-31 18:58:16,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:16,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:16,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:58:26,load-generator,806m,5Mi,minikube
2026-03-31 18:58:26,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:26,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:26,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:58:34,load-generator,806m,5Mi,minikube
2026-03-31 18:58:34,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:34,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:34,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:58:42,load-generator,806m,5Mi,minikube
2026-03-31 18:58:42,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:42,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:42,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:58:49,load-generator,806m,5Mi,minikube
2026-03-31 18:58:49,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:58:49,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:58:49,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:01,load-generator,806m,5Mi,minikube
2026-03-31 18:59:01,nginx-deployment-65f54b4ccf-cdpps,32m,13Mi,minikube
2026-03-31 18:59:01,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 18:59:01,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 18:59:08,load-generator,808m,5Mi,minikube
2026-03-31 18:59:08,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 18:59:08,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
